pair_type,key,domain_a,class_a,relative_path_a,sha256_a,domain_b,class_b,relative_path_b,sha256_b
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__3.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__3.wav,4216974a966f876fbc39e19f46342048adce1c087944b0be7ba456093223a58b,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__3.wav,4216974a966f876fbc39e19f46342048adce1c087944b0be7ba456093223a58b
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__4.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__4.wav,b89fe2c0c6f7ca6010033fba6b88caedac1dfd89f92180d03f6548c706c220f6,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__4.wav,b89fe2c0c6f7ca6010033fba6b88caedac1dfd89f92180d03f6548c706c220f6
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__5.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__5.wav,38580dcee4dfd509727c2623077cb2201073507e8ed86391fa312cbf44280b06,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__5.wav,38580dcee4dfd509727c2623077cb2201073507e8ed86391fa312cbf44280b06
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__6.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__6.wav,48fe7cf3712c447f7a5bed178d52a727a52d5753f0ce1b7c8722a7ee7b9c4ede,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__6.wav,48fe7cf3712c447f7a5bed178d52a727a52d5753f0ce1b7c8722a7ee7b9c4ede
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__7.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__7.wav,985e3ae68694c1bbf923e9f4d3debe78feeb889636eaf14d63cb35d3cb1f2ef6,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__7.wav,985e3ae68694c1bbf923e9f4d3debe78feeb889636eaf14d63cb35d3cb1f2ef6
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__8.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__8.wav,fb3b55ad5851ffff753a687ceee8eea71d7042513bffa3da99d170d0b54456f5,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__8.wav,fb3b55ad5851ffff753a687ceee8eea71d7042513bffa3da99d170d0b54456f5
relative_pattern,20220624102345_s_speedboat_n_s_1_label__0__9.wav,open,other,open/raw/other/20220624102345_S_SpeedBoat_N_S_1_label__0__9.wav,b9c02e16133d160765695cc9919ae80aaa1fa8e7cb632e789dbcee4c07be5718,speedboat,target,speedboat/raw/target/20220624102345_S_SpeedBoat_N_S_1_label__0__9.wav,b9c02e16133d160765695cc9919ae80aaa1fa8e7cb632e789dbcee4c07be5718
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__1.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__1.wav,ddb315a00049a601592eaea797f2919c52c4bd2bbd6c996644e9d5b2eeadc611,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__1.wav,ddb315a00049a601592eaea797f2919c52c4bd2bbd6c996644e9d5b2eeadc611
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__10.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__10.wav,b8107563661f9ecbe2de876dadb66c0133e7b225daf3ec231f7e5d5b460064fd,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__10.wav,b8107563661f9ecbe2de876dadb66c0133e7b225daf3ec231f7e5d5b460064fd
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__2.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__2.wav,8f505ee58174a1986cc23af349b1385ef9cc3b2bc00ffa06de34504da5bfa4d0,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__2.wav,8f505ee58174a1986cc23af349b1385ef9cc3b2bc00ffa06de34504da5bfa4d0
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__3.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__3.wav,b82d0555685e832a13817b3d4957a1edfcfaac02fdc414b6a72683ba017fc5ed,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__3.wav,b82d0555685e832a13817b3d4957a1edfcfaac02fdc414b6a72683ba017fc5ed
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__4.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__4.wav,446c7b54c06ba75321db3759996ff22663d3dc1c5083324d0ff0ccd68bcb0443,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__4.wav,446c7b54c06ba75321db3759996ff22663d3dc1c5083324d0ff0ccd68bcb0443
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__5.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__5.wav,1f635b9dea400a1622747a541dba1b0a48352258ac55ca7200c7cdd9c8eb9591,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__5.wav,1f635b9dea400a1622747a541dba1b0a48352258ac55ca7200c7cdd9c8eb9591
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__6.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__6.wav,634f3e05cbd85927307ad869f4eb033d0eb65d02be06a47754d679e698532ed9,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__6.wav,634f3e05cbd85927307ad869f4eb033d0eb65d02be06a47754d679e698532ed9
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__7.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__7.wav,5b54d6c69e077cf5b9612cc2ac33bb5601afb00ffabdbe23d31c183f56dfcc82,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__7.wav,5b54d6c69e077cf5b9612cc2ac33bb5601afb00ffabdbe23d31c183f56dfcc82
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__8.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__8.wav,8b3b223b3b57136a56d876c0456088a7dcfee8bc7821bc72232dd66de79a793a,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__8.wav,8b3b223b3b57136a56d876c0456088a7dcfee8bc7821bc72232dd66de79a793a
relative_pattern,20220624102845_m_no7_f_w&helicopter_f_w_1_label__1__9.wav,open,other,open/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__9.wav,cd3f6a542a98108db675241f20f8be2d1365a8552b26801c517fb8d6ea836ad9,speedboat,other,speedboat/raw/other/20220624102845_M_No7_F_W&Helicopter_F_W_1_label__1__9.wav,cd3f6a542a98108db675241f20f8be2d1365a8552b26801c517fb8d6ea836ad9
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__1.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__1.wav,e6e09532ed76bef127a3f58ba2eeb3c9afc37fdfaecf7bf17d0c7019dd245e1a,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__1.wav,e6e09532ed76bef127a3f58ba2eeb3c9afc37fdfaecf7bf17d0c7019dd245e1a
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__2.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__2.wav,e7557be42a1aea0ae76792ea5a66aa108c0d17cee0fc5fe2369503ed5e1a9182,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__2.wav,e7557be42a1aea0ae76792ea5a66aa108c0d17cee0fc5fe2369503ed5e1a9182
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__3.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__3.wav,1cfbe06f816aea0140ac2e1873b08b5f955f7495196c888970d03b7ba635de85,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__3.wav,1cfbe06f816aea0140ac2e1873b08b5f955f7495196c888970d03b7ba635de85
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__4.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__4.wav,ec28fc9519dc98d0a7916d40dff30dbaf080124e1f98bccfaeaf3bbeca30e8eb,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__4.wav,ec28fc9519dc98d0a7916d40dff30dbaf080124e1f98bccfaeaf3bbeca30e8eb
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__5.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__5.wav,7806e2c1dcfac34f0ab3287289c4a3260d640c8ab3805b9699a0ce56e926fa68,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__5.wav,7806e2c1dcfac34f0ab3287289c4a3260d640c8ab3805b9699a0ce56e926fa68
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__6.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__6.wav,428c168806da7387c5e4229e556743d3887dc95eaf3f8f76ea720a7b4006ee4e,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__6.wav,428c168806da7387c5e4229e556743d3887dc95eaf3f8f76ea720a7b4006ee4e
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__7.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__7.wav,614cadc817c0b1b04ad31e97a6a21e1c167bcb5178e6424dd282c961aea4db3e,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__7.wav,614cadc817c0b1b04ad31e97a6a21e1c167bcb5178e6424dd282c961aea4db3e
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__8.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__8.wav,a832d68805086c5688d9be72ddd8aa69b1c0b61181144e7eeaddae0ba2cdd07e,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__8.wav,a832d68805086c5688d9be72ddd8aa69b1c0b61181144e7eeaddae0ba2cdd07e
relative_pattern,20220624102845_m_speedboat_m_m&helicopter_f_w_0_label__1__9.wav,open,other,open/raw/other/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__9.wav,ae2818e01bb0c64e9b5a6386bfbca804b69a6590db55c12ab3ddf9cb617d0f5f,speedboat,target,speedboat/raw/target/20220624102845_M_SpeedBoat_M_M&Helicopter_F_W_0_label__1__9.wav,ae2818e01bb0c64e9b5a6386bfbca804b69a6590db55c12ab3ddf9cb617d0f5f
relative_pattern,20220624102845_s_no7_f_w_2_label__0__1.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__1.wav,fa38b1e5c660ccca846eebe3a96a77c2c6dcdd133321b06fc8b8169af4a98b70,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__1.wav,fa38b1e5c660ccca846eebe3a96a77c2c6dcdd133321b06fc8b8169af4a98b70
relative_pattern,20220624102845_s_no7_f_w_2_label__0__10.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__10.wav,e6e6c748e222494d798c69fb1a06878858e8c04e88d9dd60635a498fab16853a,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__10.wav,e6e6c748e222494d798c69fb1a06878858e8c04e88d9dd60635a498fab16853a
relative_pattern,20220624102845_s_no7_f_w_2_label__0__11.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__11.wav,c87d98c22b09efbc7f31b4701f1514ddbc0696cc1531f5b293f116850eca9b9f,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__11.wav,c87d98c22b09efbc7f31b4701f1514ddbc0696cc1531f5b293f116850eca9b9f
relative_pattern,20220624102845_s_no7_f_w_2_label__0__12.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__12.wav,b13d371a7af68fbb6f932b5df032bc57a685bbd140f36d445a5fe79a62490f73,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__12.wav,b13d371a7af68fbb6f932b5df032bc57a685bbd140f36d445a5fe79a62490f73
relative_pattern,20220624102845_s_no7_f_w_2_label__0__13.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__13.wav,e76d73b085bd378a47b1457f220162aa29a37d031cdf1bc3a83bbb4abe107c61,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__13.wav,e76d73b085bd378a47b1457f220162aa29a37d031cdf1bc3a83bbb4abe107c61
relative_pattern,20220624102845_s_no7_f_w_2_label__0__14.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__14.wav,a30d09a10e0e3575b620e254407d979ebed8420c5c3b83c3b7827222be95fa0d,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__14.wav,a30d09a10e0e3575b620e254407d979ebed8420c5c3b83c3b7827222be95fa0d
relative_pattern,20220624102845_s_no7_f_w_2_label__0__2.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__2.wav,4ea453af0799a452b3aae367565742d8f85980c941d6ddaa76737d749d008d1b,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__2.wav,4ea453af0799a452b3aae367565742d8f85980c941d6ddaa76737d749d008d1b
relative_pattern,20220624102845_s_no7_f_w_2_label__0__3.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__3.wav,7f69d3b1889c13f339c667e74febe18211eaf845b7fa8f3bd00efdf0e7d4419c,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__3.wav,7f69d3b1889c13f339c667e74febe18211eaf845b7fa8f3bd00efdf0e7d4419c
relative_pattern,20220624102845_s_no7_f_w_2_label__0__4.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__4.wav,7cb3e0970b9054bb08e19a204634a1d176da4425501cdaadb4eaab8ada62abfb,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__4.wav,7cb3e0970b9054bb08e19a204634a1d176da4425501cdaadb4eaab8ada62abfb
relative_pattern,20220624102845_s_no7_f_w_2_label__0__5.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__5.wav,3d65a6aaaa2362811dec8019f7682d80349fb78e87df7ed766fcddf30bf8db2c,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__5.wav,3d65a6aaaa2362811dec8019f7682d80349fb78e87df7ed766fcddf30bf8db2c
relative_pattern,20220624102845_s_no7_f_w_2_label__0__6.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__6.wav,44609316bb3ba7455b5b97bd66b355af296b377949192797a6ee1bf2bd18dacb,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__6.wav,44609316bb3ba7455b5b97bd66b355af296b377949192797a6ee1bf2bd18dacb
relative_pattern,20220624102845_s_no7_f_w_2_label__0__7.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__7.wav,7eceadb8c7aaa2fa1ef4ef9f94d892db8c9316399e036c27407a62bbacf4a707,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__7.wav,7eceadb8c7aaa2fa1ef4ef9f94d892db8c9316399e036c27407a62bbacf4a707
relative_pattern,20220624102845_s_no7_f_w_2_label__0__8.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__8.wav,fbf7211e9a06e2dbe9fcac5a9dbd0b36ca4427f9e937f98fb571ddece011fa76,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__8.wav,fbf7211e9a06e2dbe9fcac5a9dbd0b36ca4427f9e937f98fb571ddece011fa76
relative_pattern,20220624102845_s_no7_f_w_2_label__0__9.wav,open,other,open/raw/other/20220624102845_S_No7_F_W_2_label__0__9.wav,bd733321b083113043bb16108a8f9b9a0ddfc484ae15270a4d9329526b31268a,speedboat,other,speedboat/raw/other/20220624102845_S_No7_F_W_2_label__0__9.wav,bd733321b083113043bb16108a8f9b9a0ddfc484ae15270a4d9329526b31268a
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__1.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__1.wav,887f089f090a88e6619f5a7473b5b92d34ce24f626b2b120806292834fe6a6e6,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__1.wav,887f089f090a88e6619f5a7473b5b92d34ce24f626b2b120806292834fe6a6e6
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__10.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__10.wav,f192d5fa5d9841a736bad3c1dad3bf6799b3db70fae16c521b172b6981caf2f6,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__10.wav,f192d5fa5d9841a736bad3c1dad3bf6799b3db70fae16c521b172b6981caf2f6
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__11.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__11.wav,85dfcfb8f72c9df1b666a328e952cca47c02e4a5c4bb29f07de6d3c6fb1081ce,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__11.wav,85dfcfb8f72c9df1b666a328e952cca47c02e4a5c4bb29f07de6d3c6fb1081ce
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__12.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__12.wav,a64dbf228bb416e4955db37c526613c40ca38d95ab53805b10bcb975144a84b9,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__12.wav,a64dbf228bb416e4955db37c526613c40ca38d95ab53805b10bcb975144a84b9
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__13.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__13.wav,d02e91d9fe988119285ca2111cba072d9e81b1ad9dcc138fbc07bef656a28df2,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__13.wav,d02e91d9fe988119285ca2111cba072d9e81b1ad9dcc138fbc07bef656a28df2
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__14.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__14.wav,1cd00c6a7c3629fce460fe2eaa248a5077d6bcc2b73cdfc38cb7b2b03e41517f,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__14.wav,1cd00c6a7c3629fce460fe2eaa248a5077d6bcc2b73cdfc38cb7b2b03e41517f
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__15.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__15.wav,04d8d5ad8eab33a10f0460eeb2ef0119533421ef8e798b404946472068ab5385,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__15.wav,04d8d5ad8eab33a10f0460eeb2ef0119533421ef8e798b404946472068ab5385
relative_pattern,20220624105851_s_speedboat_f_w_0_label__0__16.wav,open,other,open/raw/other/20220624105851_S_SpeedBoat_F_W_0_label__0__16.wav,664d8057d7f0d2f81d472c16188742c27a28c57f01c22761019eeb7af447b063,speedboat,target,speedboat/raw/target/20220624105851_S_SpeedBoat_F_W_0_label__0__16.wav,664d8057d7f0d2f81d472c16188742c27a28c57f01c22761019eeb7af447b063
