domain,official_qiandaoear22_category,label,relative_path,recording_group_id_inferred
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__28.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__29.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__3.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__30.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__31.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__32.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__33.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__34.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__35.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__36.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__37.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__38.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__4.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__5.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__6.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__7.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__8.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624105851_S_SpeedBoat_F_W_0_label__0__9.wav,20220624105851_S_SpeedBoat_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__1.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__10.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__11.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__12.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__13.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__14.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__15.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__16.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__17.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__18.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__19.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__2.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__20.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__21.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__22.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__23.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__24.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__25.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__26.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__27.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__28.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__3.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__4.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__5.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__6.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__7.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__8.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624110853_S_No7_F_W_0_label__0__9.wav,20220624110853_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__1.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__10.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__100.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__11.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__12.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__13.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__14.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__15.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__16.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__17.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__18.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__19.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__2.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__20.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__21.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__22.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__23.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__24.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__25.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__26.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__27.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__28.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__29.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__3.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__30.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__31.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__32.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__33.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__34.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__35.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__36.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__37.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__38.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__39.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__4.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__40.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__41.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__42.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__43.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__44.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__45.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__46.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__47.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__48.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__49.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__5.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__50.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__51.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__52.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__53.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__54.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__55.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__56.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__57.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__58.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__59.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__6.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__60.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__61.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__62.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__63.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__64.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__65.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__66.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__67.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__68.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__69.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__7.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__70.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__71.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__72.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__73.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__74.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__75.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__76.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__77.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__78.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__79.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__8.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__80.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__81.wav,20220624111353_S_No7_F_W_0
open,KaiYuan,other/background,open\raw\other\20220624111353_S_No7_F_W_0_label__0__82.wav,20220624111353_S_No7_F_W_0
